"(0.9,5.0,21.0)"
"(1.0,4.0,15.0)"
"(1.2,10.0,4.0)"
"(1.2,4.0,13.0)"
"(1.3,20.0,6.0)"
"(1.4,11.0,6.0)"
"(1.5,5.0,7.0)"
"(9.0,5.0,1.5)"
"(1.5,19.0,6.0)"
"(1.5,17.0,7.0)"
"(8.0,1.5,10.0)"
"(8.0,17.0,1.5)"
"(17.0,9.0,1.5)"
"(24.0,9.0,1.5)"
"(1.6,10.0,6.0)"
"(1.6,19.0,6.0)"
"(8.0,1.6,13.0)"
"(1.7,17.0,6.0)"
"(1.7,18.0,6.0)"
"(1.7,15.0,7.0)"
"(1.7,18.0,10.0)"
"(1.8,11.0,15.0)"
"(16.0,1.9,15.0)"
"(2.0,19.0,6.0)"
"(2.0,6.0,22.0)"
"(2.0,15.0,7.0)"
"(8.0,18.0,2.0)"
"(17.0,2.0,9.0)"
"(2.1,11.0,4.0)"
"(16.0,9.0,2.2)"
"(32.0,24.0,2.3)"
"(16.0,2.8,4.0)"
"(10.0,3.0,4.9)"
"(10.0,3.3,5.0)"
"(20.0,4.0,5.3)"
"(8.0,18.0,4.0)"
"(18.0,4.2,7.0)"
"(10.0,4.2,15.0)"
"(10.0,4.2,30.0)"
"(4.2,21.0,23.0)"
"(25.0,10.0,4.5)"
"(19.0,4.7,6.0)"
"(18.0,4.7,7.0)"
"(8.0,4.7,22.0)"
"(9.0,11.0,4.7)"
"(24.0,4.8,5.0)"
"(17.0,19.0,4.8)"
"(17.0,4.9,6.0)"
"(16.0,10.0,4.9)"
"(5.3,5.0,14.0)"
"(11.0,5.0,15.0)"
"(24.0,20.0,5.0)"
"(5.2,22.0,7.0)"
"(24.0,16.0,5.2)"
"(17.0,5.2,21.0)"
"(17.0,18.0,6.0)"
"(21.0,6.1,15.0)"
"(24.0,9.0,6.2)"
"(28.0,20.0,6.2)"
"(25.0,18.0,6.3)"
"(33.0,29.0,6.3)"
"(11.0,6.6,7.0)"
"(15.0,14.0,7.3)"
"(25.0,22.0,7.3)"
"(25.0,23.0,7.3)"
"(20.0,13.0,7.5)"
"(2.5,13.0,7.0)"
"(3.4,12.0,14.0)"
"(3.5,4.0,13.0)"
"(8.0,9.0,3.5)"
"(11.0,3.6,6.0)"
"(3.6,14.0,7.0)"
"(9.0,3.6,12.0)"
"(18.0,26.0,3.6)"
"(3.7,4.0,13.0)"
"(8.0,3.7,6.0)"
"(8.0,10.0,3.7)"
"(11.0,3.8,6.0)"
"(3.8,13.0,6.0)"
"(3.8,6.0,15.0)"
"(10.0,3.8,7.0)"
"(3.8,12.0,7.0)"
"(8.0,3.8,13.0)"
"(19.0,10.0,3.8)"
"(11.0,3.8,13.0)"
"(3.8,12.0,15.0)"
"(17.0,3.8,12.0)"
"(17.0,3.8,14.0)"
"(16.0,17.0,3.8)"
"(18.0,3.8,20.0)"
"(11.0,3.9,15.0)"
"(3.9,13.0,15.0)"
"(15.0,4.0,7.0)"
"(9.0,4.0,14.0)"
"(10.0,4.0,15.0)"
"(11.0,4.0,15.0)"
"(11.0,20.0,4.0)"
"(17.0,12.0,4.0)"
"(4.1,13.0,15.0)"
"(17.0,4.1,20.0)"
"(18.0,10.0,4.2)"
"(17.0,4.2,13.0)"
"(4.3,12.0,14.0)"
"(18.0,19.0,4.3)"
"(8.0,4.4,13.0)"
"(4.5,14.0,15.0)"
"(4.6,13.0,7.0)"
"(9.0,19.0,4.6)"
"(10.0,4.6,15.0)"
"(10.0,4.6,21.0)"
"(4.6,14.0,15.0)"
"(18.0,19.0,4.6)"
"(16.0,4.8,14.0)"
"(16.0,17.0,4.8)"
"(16.0,18.0,4.9)"
"(18.0,5.1,14.0)"
"(16.0,20.0,5.2)"
"(5.2,18.0,21.0)"
"(29.0,28.0,5.2)"
"(25.0,20.0,5.3)"
"(18.0,5.5,15.0)"
"(17.0,5.6,15.0)"
"(18.0,5.9,14.0)"
"(17.0,19.0,5.9)"
"(25.0,22.0,6.1)"
"(27.0,30.0,7.5)"
"(16.0,2.25,27.0)"
"(2.4,19.0,6.0)"
"(9.0,2.7,17.0)"
"(24.0,2.7,14.0)"
"(8.0,2.8,22.0)"
"(19.0,2.8,10.0)"
"(17.0,2.8,11.0)"
"(2.8,19.0,13.0)"
"(3.0,3.7,15.0)"
"(16.0,9.0,3.0)"
"(19.0,3.1,6.0)"
"(8.0,27.0,3.1)"
"(9.0,3.1,23.0)"
"(3.2,6.0,22.0)"
"(3.3,12.0,4.0)"
"(13.0,3.3,5.0)"
"(8.0,3.3,22.0)"
"(9.0,3.3,21.0)"
"(10.0,3.3,30.0)"
"(17.0,3.3,12.0)"
"(18.0,3.3,12.0)"
"(3.4,20.0,13.0)"
"(3.5,6.0,7.0)"
"(17.0,3.5,7.0)"
"(9.0,10.0,3.5)"
