"(1.7,15.0,7.0)"
"(16.0,2.8,4.0)"
"(10.0,3.0,4.9)"
"(10.0,3.3,5.0)"
"(20.0,4.0,5.3)"
"(8.0,18.0,4.0)"
"(18.0,4.2,7.0)"
"(10.0,4.2,15.0)"
"(10.0,4.2,30.0)"
"(4.2,21.0,23.0)"
"(25.0,10.0,4.5)"
"(19.0,4.7,6.0)"
"(18.0,4.7,7.0)"
"(8.0,4.7,22.0)"
"(9.0,11.0,4.7)"
"(24.0,4.8,5.0)"
"(17.0,19.0,4.8)"
"(17.0,4.9,6.0)"
"(16.0,10.0,4.9)"
"(5.3,5.0,14.0)"
"(11.0,5.0,15.0)"
"(24.0,20.0,5.0)"
"(5.2,22.0,7.0)"
"(24.0,16.0,5.2)"
"(17.0,5.2,21.0)"
"(17.0,18.0,6.0)"
"(21.0,6.1,15.0)"
"(24.0,9.0,6.2)"
"(28.0,20.0,6.2)"
"(25.0,18.0,6.3)"
"(33.0,29.0,6.3)"
"(11.0,6.6,7.0)"
"(15.0,14.0,7.3)"
"(25.0,22.0,7.3)"
"(25.0,23.0,7.3)"
"(20.0,13.0,7.5)"
"(3.8,13.0,6.0)"
"(4.1,13.0,15.0)"
"(16.0,2.25,27.0)"
"(2.4,19.0,6.0)"
"(9.0,2.7,17.0)"
"(24.0,2.7,14.0)"
"(8.0,2.8,22.0)"
"(19.0,2.8,10.0)"
"(17.0,2.8,11.0)"
"(2.8,19.0,13.0)"
"(3.0,3.7,15.0)"
"(16.0,9.0,3.0)"
"(19.0,3.1,6.0)"
"(8.0,27.0,3.1)"
"(9.0,3.1,23.0)"
"(3.2,6.0,22.0)"
"(3.3,12.0,4.0)"
"(13.0,3.3,5.0)"
"(8.0,3.3,22.0)"
"(9.0,3.3,21.0)"
"(10.0,3.3,30.0)"
"(17.0,3.3,12.0)"
"(18.0,3.3,12.0)"
"(3.4,20.0,13.0)"
"(3.5,6.0,7.0)"
"(17.0,3.5,7.0)"
"(9.0,10.0,3.5)"
"(10.0,3.5,31.0)"
"(16.0,11.0,3.5)"
"(3.6,13.0,15.0)"
"(3.7,4.0,15.0)"
"(18.0,3.7,4.0)"
"(17.0,3.7,5.0)"
"(21.0,3.7,5.0)"
"(11.0,3.7,6.0)"
"(11.0,3.7,14.0)"
"(3.8,12.0,13.0)"
"(18.0,3.8,15.0)"
"(16.0,3.9,7.0)"
"(24.0,4.0,5.0)"
"(18.0,4.0,6.0)"
"(8.0,17.0,4.0)"
"(16.0,9.0,4.0)"
"(10.0,4.0,13.0)"
"(4.0,13.0,15.0)"
"(9.0,4.1,15.0)"
"(10.0,4.1,21.0)"
"(2.9,4.0,30.0)"
"(17.0,2.9,7.0)"
"(8.0,2.9,23.0)"
"(8.0,2.9,28.0)"
"(10.0,2.9,19.0)"
"(2.9,10.0,22.0)"
"(24.0,2.9,11.0)"
"(2.9,19.0,14.0)"
"(32.0,2.9,18.0)"
"(3.0,12.0,15.0)"
"(19.0,3.0,23.0)"
"(10.0,3.1,29.0)"
"(3.2,12.0,15.0)"
"(18.0,3.2,29.0)"
"(8.0,3.3,15.0)"
"(3.5,6.0,23.0)"
"(9.0,3.5,22.0)"
